"Name","Status"
"TieringEngineService","Stopped"
"TimeBrokerSvc","Running"
"TokenBroker","Running"
"TrkWks","Running"
"TroubleshootingSvc","Stopped"
"TrustedInstaller","Stopped"
"tzautoupdate","Stopped"
"UdkUserSvc_3b52e8","Running"
"UevAgentService","Stopped"
"UmRdpService","Stopped"
"UnistoreSvc_3b52e8","Running"
"upnphost","Stopped"
"UserDataSvc_3b52e8","Running"
"UserManager","Running"
"UsoSvc","Running"
"VaultSvc","Running"
"vds","Stopped"
"vmcompute","Running"
"vmicguestinterface","Stopped"
"vmicheartbeat","Stopped"
"vmickvpexchange","Stopped"
"vmicrdv","Stopped"
"vmicshutdown","Stopped"
"vmictimesync","Stopped"
"vmicvmsession","Stopped"
"vmicvss","Stopped"
"vmms","Running"
"VSS","Stopped"
"W32Time","Stopped"
"WaaSMedicSvc","Stopped"
"WalletService","Stopped"
"WarpJITSvc","Stopped"
"wbengine","Stopped"
"WbioSrvc","Stopped"
"Wcmsvc","Running"
"wcncsvc","Stopped"
"WdiServiceHost","Stopped"
"WdiSystemHost","Stopped"
"WdNisSvc","Running"
"WebClient","Running"
"webthreatdefsvc","Running"
"webthreatdefusersvc_3b52e8","Running"
"Wecsvc","Stopped"
"WEPHOSTSVC","Stopped"
"wercplsupport","Stopped"
"WerSvc","Stopped"
"WFDSConMgrSvc","Stopped"
"whesvc","Running"
"WiaRpc","Stopped"
"WinDefend","Running"
"WinHttpAutoProxySvc","Running"
"Winmgmt","Running"
"WinRM","Stopped"
"wisvc","Stopped"
"WlanSvc","Running"
"wlidsvc","Running"
"wlpasvc","Stopped"
"WManSvc","Stopped"
"wmiApSrv","Stopped"
"WMPNetworkSvc","Stopped"
"workfolderssvc","Stopped"
"WpcMonSvc","Stopped"
"WPDBusEnum","Stopped"
"WpnService","Running"
"WpnUserService_3b52e8","Running"
"WSAIFabricSvc","Running"
"wscsvc","Running"
"WSearch","Running"
"wuauserv","Stopped"
"wuqisvc","Stopped"
"WwanSvc","Stopped"
"XblAuthManager","Stopped"
"XblGameSave","Stopped"
"XboxGipSvc","Stopped"
"XboxNetApiSvc","Stopped"
